Chromosome,Start,End,Number of healthy samples with peak (out of 26 total),Overlaps validated VISTA heart enhancer
chr9,27470689,27476419,4,.
chr9,27533323,27535934,6,.
chr9,27537890,27542592,23,.
chr9,27544412,27549613,9,.
chr9,27598855,27602968,7,.
chr9,27700396,27703298,5,.
chr9,31334507,31338759,20,.
chr9,31346007,31349572,10,.
chr9,32388137,32391187,14,.
chr9,32393508,32398209,11,.
chr9,32557851,32560241,2,.
chr9,32875203,32878239,9,.
chr9,33040016,33046980,26,.
chr9,33078987,33083464,8,.
chr9,33099099,33148959,25,.
chr9,33170409,33172951,2,.
chr9,33177417,33183207,13,.
chr9,33184314,33190620,22,.
chr9,33195726,33199634,14,.
chr9,33201592,33204170,8,.
chr9,33286398,33287895,2,.
chr9,33296522,33302620,2,.
chr9,33304397,33308294,7,.
chr9,33324481,33334853,23,.
chr9,33348391,33353235,6,.
chr9,33354202,33355547,2,.
chr9,33374054,33377472,14,.
chr9,33378436,33389295,20,.
chr9,33430625,33432661,4,.
chr9,33434892,33441056,8,.
chr9,33508514,33512949,25,.
chr9,33675343,33678843,9,.
chr9,33785786,33789999,15,.
chr9,33834889,33838876,3,.
chr9,33846151,33859322,12,.
chr9,33863952,33873708,20,.
chr9,33874833,33887420,10,.
chr9,33911880,33927686,7,.
chr9,34021179,34029670,19,.
chr9,34081907,34092267,20,.
chr9,34095454,34099020,9,.
chr9,34138773,34143367,3,.
chr9,34169383,34172657,10,.
chr9,34184087,34196328,20,.
chr9,34201672,34205511,2,.
chr9,34231999,34244414,22,.
chr9,34245853,34260898,25,.
chr9,34339947,34347952,15,.
chr9,34361842,34366932,25,.
chr9,34392474,34393216,2,.
chr9,34439286,34447685,13,.
chr9,34559235,34560855,2,.
chr9,34592742,34594735,2,.
chr9,34685112,34687556,2,.
chr9,34700295,34703746,23,.
chr9,35025028,35031929,10,.
chr9,35034416,35038637,6,.
chr9,35047883,35054600,19,.
chr9,35130708,35136689,14,.
chr9,35217665,35222214,13,.
chr9,35263665,35273087,21,.
chr9,35273384,35280523,23,.
chr9,35310146,35315550,10,.
chr9,35338268,35343545,20,.
chr9,35343627,35347002,4,.
chr9,35347959,35348744,3,.
chr9,35349610,35352325,2,.
chr9,35363436,35368841,2,.
chr9,35495442,35502697,5,.
chr9,35504328,35535177,26,.
chr9,35544025,35557034,19,.
chr9,35710252,35712996,5,.
chr9,35775001,35776191,2,.
chr9,35826116,35826805,2,.
chr9,35831447,35837064,8,.
chr9,35842977,35851053,21,.
chr9,35914133,35932007,15,.
chr9,35942210,35955702,26,.
chr9,35961940,35963227,3,.
chr9,35995086,35998966,15,.
chr9,36028865,36030605,3,.
chr9,36039563,36042210,2,.
chr9,36073159,36076090,10,.
chr9,36090525,36094045,4,.
chr9,36146378,36167065,23,.
chr9,36201245,36222578,19,.
chr9,36295473,36299560,14,.
chr9,36335613,36339736,9,.
chr9,36371064,36374918,6,.
chr9,36465076,36473352,26,.
chr9,36566464,36567721,5,.
chr9,36624507,36625494,2,.
chr9,37404795,37407199,3,.
chr9,37413923,37415784,6,.
chr9,37433489,37443361,2,.
chr9,37470934,37474303,24,.
chr9,37594283,37594930,3,.
chr9,37602525,37603462,2,.
chr9,37616648,37618744,5,.
chr9,37675681,37680201,8,.
chr9,37911483,37923846,24,.
chr9,37934312,37940790,19,.
chr9,37947830,37958954,9,.
chr9,37962422,37970595,5,.
chr9,37982908,38030573,23,.
chr9,38031329,38033638,3,.
chr9,38034579,38052885,23,yes
chr9,38053668,38065069,2,.
chr9,38081147,38085076,11,.
chr9,38310677,38311722,4,.
chr9,38647016,38659849,22,.
chr9,38670080,38679935,13,.
chr9,38680440,38683474,2,.
chr9,38685326,38688174,2,.
chr9,38705995,38707055,2,.
chr9,39463746,39464793,3,.
chr9,39581958,39583551,2,.
chr9,40990642,40994138,25,.
chr9,41357580,41359547,7,.
chr9,41643090,41644256,6,.
chr9,42236049,42240139,5,.
chr9,42774682,42776179,3,.
chr9,43114947,43119569,8,.
chr9,43130104,43131392,9,.
chr9,62838029,62838835,9,.
chr9,63339155,63340336,3,.
chr9,63816775,63818155,5,.
chr9,63859138,63860078,3,.
chr9,66269999,66270670,9,.
chr9,68415942,68430292,26,.
chr9,68433140,68441033,18,.
chr9,68442935,68463487,8,.
chr9,68469437,68491438,18,.
chr9,68498052,68516822,7,.
chr9,68526062,68539649,10,.
chr9,68550447,68553264,3,.
chr9,68557505,68570001,12,.
chr9,68583461,68585201,4,.
chr9,68688057,68694266,19,.
chr9,68743780,68754076,4,.
chr9,68754541,68766556,4,.
chr9,68793273,68814497,25,.
chr9,68817917,68849051,21,.
chr9,68857525,68878522,23,.
chr9,68888388,68907979,17,.
chr9,68912456,68914172,3,.
chr9,68938271,68988438,25,.
chr9,68994282,69002092,18,.
chr9,69062868,69087938,23,.
chr9,69089223,69093796,7,.
chr9,69128315,69145974,22,.
chr9,69148457,69150617,8,.
chr9,69161893,69167361,16,.
chr9,69176682,69202694,12,.
chr9,69209750,69225035,14,.
chr9,69228929,69238547,4,.
chr9,69247393,69257479,11,.
chr9,69271466,69280376,25,.
chr9,69294176,69300857,14,.
chr9,69337063,69343406,3,.
chr9,69344100,69345672,5,.
chr9,69353688,69368101,19,.
chr9,69377690,69383055,5,.
chr9,69389134,69401065,9,.
chr9,69499185,69504569,7,.
chr9,69542396,69545551,12,.
chr9,69872975,69876105,3,.
chr9,69944486,69947724,4,.
chr9,69953983,69957409,3,.
chr9,69992019,70000829,20,.
chr9,70009371,70014101,4,.
chr9,70047887,70084767,20,.
chr9,70106275,70113440,5,.
chr9,70118087,70131816,19,.
chr9,70158766,70162940,6,.
chr9,70227394,70230049,10,.
chr9,70283666,70288586,5,.
chr9,70350851,70358671,6,.
chr9,70381304,70401506,4,.
chr9,70433971,70443150,25,.
chr9,70455509,70457455,3,.
chr9,70464689,70497933,26,.
chr9,70501146,70507261,9,.
chr9,70561137,70566119,7,.
chr9,70572390,70581490,17,.
chr9,70584212,70619247,26,.
chr9,71517949,71518654,2,.
chr9,71628746,71632505,13,.
chr9,71635717,71648794,21,.
chr9,71660041,71665374,8,.
chr9,71675428,71683292,16,.
chr9,71807264,71815334,7,.
chr9,71961594,71963080,2,.
chr9,71979568,71982265,11,.
chr9,71984061,71985653,5,.
chr9,72313982,72316844,8,.
chr9,72349226,72354936,2,.
chr9,72464557,72466304,5,.
chr9,72476442,72479494,16,.
chr9,72517545,72519890,2,.
chr9,72523791,72528885,14,.
chr9,72589870,72590508,2,.
chr9,72593007,72593386,2,.
chr9,72825743,72828988,10,.
chr9,72855499,72860056,13,.
chr9,72880231,72884764,21,.
chr9,72911045,72916308,7,.
chr9,72982225,72986565,6,.
chr9,73049602,73052965,5,.
chr9,73130262,73136073,25,.
chr9,73143217,73146549,5,.
chr9,73219459,73220887,2,.
chr9,73402332,73403818,2,.
chr9,73443783,73456477,22,.
chr9,73494099,73501829,11,.
chr9,74444211,74445975,3,.
chr9,74554447,74557677,3,.
chr9,74824939,74826663,2,.
chr9,74948907,74950552,5,.
chr9,75082034,75084786,3,.
chr9,75090868,75092147,2,.
chr9,75093191,75095564,2,.
chr9,75104289,75111430,10,.
chr9,75167012,75172501,2,.
chr9,75371736,75374147,2,.
chr9,75388093,75390976,4,.
chr9,75417273,75423116,7,.
chr9,75426199,75435963,24,.
chr9,75446618,75458046,11,.
chr9,75466535,75468655,3,.
chr9,75486874,75492533,7,.
chr9,75499145,75502946,8,.
chr9,75632767,75646329,13,.
chr9,75686169,75688991,5,.
chr9,75697547,75701163,20,.
chr9,75711595,75716054,12,.
chr9,75753084,75754969,3,.
chr9,75774877,75775497,3,.
chr9,75787316,75789522,3,.
chr9,76222847,76224933,2,.
chr9,76255253,76257819,5,.
chr9,76297306,76299037,5,.
chr9,76370920,76378220,18,.
chr9,76403307,76404668,7,.
chr9,76487470,76492625,17,.
chr9,76570443,76575030,13,.
chr9,76816745,76819773,5,.
chr9,76833905,76837157,17,.
chr9,76875160,76877632,3,.
chr9,77154350,77164324,19,.
chr9,77169795,77174080,21,.
chr9,77439344,77441200,3,.
chr9,77474909,77478029,13,.
chr9,77494499,77500551,10,.
chr9,77505622,77522272,21,.
chr9,77587475,77589208,2,.
chr9,77592275,77600478,14,.
chr9,77604206,77608262,23,.
chr9,77673360,77674607,3,.
chr9,77788824,77799173,8,.
chr9,77815146,77821446,4,.
chr9,77840836,77854807,23,.
chr9,77915063,77918546,2,.
chr9,77941961,77955167,22,.
chr9,77958011,77964376,15,.
chr9,77973175,77983978,12,.
chr9,77995611,78001657,12,.
chr9,78008189,78013193,6,.
chr9,78017561,78027149,8,.
chr9,78034030,78035859,5,.
chr9,78096584,78098134,4,.
chr9,78280688,78281928,5,.
chr9,79583704,79585592,2,.
chr9,79621920,79625521,8,.
chr9,79740719,79743459,15,.
chr9,79939022,79942123,6,.
chr9,80060973,80063471,4,.
chr9,80503337,80505053,2,.
chr9,80648316,80652058,3,.
chr9,80689544,80691823,2,.
chr9,80796642,80799782,5,.
chr9,80841264,80843779,3,.
chr9,81371211,81377596,20,.
chr9,81393464,81396172,8,.
chr9,81529156,81531100,3,.
chr9,81550993,81553405,2,.
chr9,81556427,81560545,14,.
chr9,81561624,81564381,2,.
chr9,81588593,81605688,17,.
chr9,81664734,81666074,2,.
chr9,81671368,81672790,4,.
chr9,81842069,81843263,9,.
chr9,81849941,81851987,5,.
chr9,81873117,81876152,7,.
chr9,82486761,82490943,7,.
chr9,82496671,82501000,7,.
chr9,82512280,82514827,3,.
chr9,83218530,83222201,24,.
chr9,83230189,83237314,13,.
chr9,83238103,83252006,20,.
chr9,83254358,83255218,2,.
chr9,83303322,83309003,13,.
chr9,83334128,83357454,19,.
chr9,83421744,83454374,22,.
chr9,83489182,83494535,2,.
chr9,83507899,83516140,6,.
chr9,83553546,83555432,3,.
chr9,83559832,83561860,3,.
chr9,83568499,83573254,3,.
chr9,83649043,83650496,3,.
chr9,83698262,83705201,8,.
chr9,84001904,84002980,2,.
chr9,84054228,84058249,3,.
chr9,84145945,84148404,19,.
chr9,84165653,84172605,23,.
chr9,84180495,84183527,22,.
chr9,84190951,84193483,3,.
chr9,84271042,84272495,5,.
chr9,84301852,84302579,2,.
chr9,84342574,84344797,2,.
chr9,84380898,84384631,4,.
chr9,84435710,84437030,4,.
chr9,84804562,84806376,2,.
chr9,84851248,84863878,10,.
chr9,84873493,84876786,4,.
chr9,84944510,84948420,5,.
chr9,85429344,85434357,8,.
chr9,85452902,85456044,9,.
chr9,85519647,85538280,24,.
chr9,85609599,85611110,3,.
chr9,85639843,85641799,3,.
chr9,85727893,85733891,5,.
chr9,85737726,85739395,2,.
chr9,85802983,85806973,23,.
chr9,85959738,85961945,6,.
chr9,86245552,86249350,6,.
chr9,86260686,86264978,11,.
chr9,86307603,86309568,2,.
chr9,86357278,86357860,2,.
chr9,86404236,86407654,7,.
chr9,86533982,86536165,5,.
chr9,86573814,86578288,19,.
chr9,86583595,86586455,6,.
chr9,86714437,86723896,12,.
chr9,86729314,86736965,13,.
chr9,86740879,86742956,6,.
chr9,86771805,86775069,2,.
chr9,86792552,86802704,10,.
chr9,86807138,86808872,6,.
chr9,86836753,86841198,6,.
chr9,86965265,86967424,2,.
chr9,86971070,86972772,2,.
chr9,86977993,86979915,3,.
chr9,87006984,87011704,7,.
chr9,87061750,87068337,10,.
chr9,87085692,87091534,9,.
chr9,87107650,87112210,7,.
chr9,87115564,87124433,7,.
chr9,87160101,87161319,2,.
chr9,87259652,87260460,2,.
chr9,87265576,87272202,15,.
chr9,87275847,87278634,8,.
chr9,87553364,87555424,4,.
chr9,87590508,87594649,10,.
chr9,87710841,87718397,21,.
chr9,87747121,87752837,16,.
chr9,87766900,87767301,2,.
chr9,87790414,87796648,20,.
chr9,88075298,88077996,15,.
chr9,88089439,88095751,9,.
chr9,88192271,88202671,18,.
chr9,88214991,88216682,2,.
chr9,88236463,88237713,2,.
chr9,88257798,88259439,3,.
chr9,88306454,88309630,3,.
chr9,88603499,88608091,17,.
chr9,88645319,88647385,6,.
chr9,88656246,88660170,10,.
chr9,88691431,88697071,12,.
chr9,88726812,88738820,20,.
chr9,88741610,88756715,21,.
chr9,88772704,88787178,21,.
chr9,88787909,88794869,12,.
chr9,88802767,88822855,25,.
chr9,88825952,88836521,11,.
chr9,88851599,88854142,13,.
chr9,88869435,88876921,25,.
chr9,88947104,88955237,23,.
chr9,88997585,89001556,2,.
chr9,89020271,89026908,21,.
chr9,89038108,89039331,2,.
chr9,89046467,89047401,3,.
chr9,89050909,89054340,4,.
chr9,89078267,89081231,12,.
chr9,89303277,89307237,11,.
chr9,89357767,89362492,8,.
chr9,89413794,89414896,3,.
chr9,89431493,89433660,2,.
chr9,89482355,89485283,2,.
chr9,89553600,89557639,2,.
chr9,89619699,89627803,23,.
chr9,89659585,89669031,26,.
chr9,89674444,89678534,21,.
chr9,89682521,89688497,25,.
chr9,89717480,89721262,7,.
chr9,89730947,89735334,20,.
chr9,89749018,89751340,4,.
chr9,89754909,89759411,12,.
chr9,89778102,89780194,3,.
chr9,89805842,89808550,4,.
chr9,89869166,89894302,26,.
chr9,89929294,89931216,5,.
chr9,89987346,89991184,2,.
chr9,89991336,90005166,25,.
chr9,90095545,90098710,3,.
chr9,90104034,90109807,23,.
chr9,90127577,90129741,5,.
chr9,90871203,90873804,9,.
chr9,90899434,90901072,5,.
chr9,90917831,90923007,25,.
chr9,91036750,91039707,7,.
chr9,91055306,91062660,20,.
chr9,91073789,91075226,2,.
chr9,91097398,91103777,26,.
chr9,91140779,91142519,4,.
chr9,91185767,91200508,26,.
chr9,91205704,91209295,16,.
chr9,91298348,91307077,12,.
chr9,91331179,91334775,8,.
chr9,91339674,91344840,8,.
chr9,91406256,91411598,6,.
chr9,91479158,91493303,26,.
chr9,91507521,91509403,4,.
chr9,91514124,91516953,4,.
chr9,91571326,91573167,2,.
chr9,91610706,91612685,6,.
chr9,91726369,91731099,19,.
chr9,91873066,91874407,6,.
chr9,92096874,92099350,6,.
chr9,92170481,92171749,5,.
chr9,92311977,92317684,24,.
chr9,92330997,92336870,17,.
chr9,92346784,92353729,18,.
chr9,92383106,92386621,9,.
chr9,92462308,92465420,6,.
chr9,92500501,92515962,13,.
chr9,92525116,92530978,19,.
chr9,92588674,92594141,14,.
chr9,92613911,92619209,5,.
chr9,92632840,92635684,2,.
chr9,92648186,92651934,5,.
chr9,92709748,92718779,22,.
chr9,92723607,92733189,8,.
chr9,92733502,92754407,24,.
chr9,92767565,92771457,9,.
chr9,92951430,92957622,24,.
chr9,93051168,93053227,8,.
chr9,93115975,93124163,20,.
chr9,93192517,93233376,15,.
chr9,93239880,93253205,4,.
chr9,93298014,93302830,3,.
chr9,93397233,93398442,2,.
chr9,93445069,93447246,4,.
chr9,93462701,93471942,7,.
chr9,93498204,93506642,16,.
chr9,93507537,93515263,11,.
chr9,93522599,93527483,5,.
chr9,93535112,93538091,4,.
chr9,93538206,93546244,10,.
chr9,93548415,93551413,5,.
chr9,93562032,93569654,26,.
chr9,93584505,93602729,13,.
chr9,94042155,94043331,2,.
chr9,94054353,94058177,11,.
chr9,94063609,94066421,8,.
chr9,94106276,94113548,7,.
chr9,94131449,94144794,26,.
chr9,94150665,94151504,2,.
chr9,94154178,94161891,26,.
chr9,94286134,94290562,17,.
chr9,94403152,94404180,5,.
chr9,94673203,94676667,12,.
chr9,94680877,94683028,6,.
chr9,94684965,94686984,2,.
chr9,94732308,94735289,8,.
chr9,94777466,94787973,26,.
chr9,94798207,94829949,20,.
chr9,94859115,94889077,26,.
chr9,94899145,94903234,23,.
chr9,94905646,94917758,20,.
chr9,94925429,94935627,22,.
chr9,94939536,94943263,10,.
chr9,94944036,94947008,7,.
chr9,94947333,94954925,11,.
chr9,94970084,94975466,5,.
chr9,94991223,94999370,5,.
chr9,95060190,95105766,3,.
chr9,95143219,95144969,3,.
chr9,95156896,95158971,6,.
chr9,95187847,95191801,13,.
chr9,95447110,95448934,11,.
chr9,95461046,95464440,15,.
chr9,95624737,95628930,25,.
chr9,95643705,95645636,6,.
chr9,95752156,95758533,7,.
chr9,95792832,95795313,4,.
chr9,95806007,95808993,12,.
chr9,95984906,95986280,5,.
chr9,96008808,96010365,3,.
chr9,96047746,96050231,4,.
chr9,96060772,96063011,6,.
chr9,96066100,96067894,7,.
chr9,96073248,96075532,4,.
chr9,96155374,96162046,12,.
chr9,96175849,96177794,2,.
chr9,96214752,96220069,19,.
chr9,96231144,96238392,23,.
chr9,96338333,96349338,20,.
chr9,96376040,96380386,15,.
chr9,96411648,96415472,6,.
chr9,96423246,96425100,3,.
chr9,96473381,96480491,12,.
chr9,96484028,96499818,24,.
chr9,96504471,96517035,23,.
chr9,96550535,96561087,20,.
chr9,96601972,96608674,22,.
chr9,96608981,96616035,17,.
chr9,96641036,96642613,4,.
chr9,96665704,96667060,3,.
chr9,96983809,96985634,16,.
chr9,97009574,97010073,2,.
chr9,97287959,97297696,21,.
chr9,97464778,97472708,23,.
chr9,97510160,97542265,14,.
chr9,97544553,97550570,2,.
chr9,97566788,97576392,12,.
chr9,97621415,97622203,2,.
chr9,97703514,97705079,3,.
chr9,97740664,97742046,11,.
chr9,97875856,97878014,16,.
chr9,97904244,97910281,3,.
chr9,97964490,97965887,6,.
chr9,98007230,98012343,10,.
chr9,98014868,98025317,22,.
chr9,98034979,98039907,23,.
chr9,98247214,98252343,20,.
chr9,98400368,98404143,8,.
chr9,98409870,98413616,2,.
chr9,98477749,98478644,2,.
chr9,98490426,98493082,13,.
chr9,98501374,98505039,18,.
chr9,98601832,98605511,9,.
chr9,98724085,98727433,4,.
chr9,98859763,98871727,25,.
chr9,98877092,98890937,23,.
chr9,98894188,98896277,3,.
chr9,98901780,98914837,24,.
chr9,98914856,98920960,25,.
chr9,98922576,98925917,2,.
chr9,98950772,99009863,24,.
chr9,99012999,99027455,5,.
chr9,99039923,99044599,4,.
chr9,99050490,99078140,23,.
chr9,99184375,99185280,4,.
chr9,99253380,99262196,25,.
chr9,99384315,99387999,4,.
chr9,99398594,99401913,12,.
chr9,99433108,99434717,2,.
chr9,99443892,99447610,19,.
chr9,99450077,99453020,22,.
chr9,99560515,99564201,18,.
chr9,99720029,99721485,10,.
chr9,99729524,99734446,20,.
chr9,99865467,99867555,3,.
chr9,100065325,100067217,7,.
chr9,100107864,100114818,21,.
chr9,100209785,100210716,4,.
chr9,100411120,100412426,5,.
chr9,100465252,100467991,11,.
chr9,101436826,101446967,21,.
chr9,101447885,101452516,21,.
chr9,101783515,101789758,3,.
chr9,102404500,102406268,6,.
chr9,102863369,102873833,15,.
chr9,104071998,104077990,14,.
chr9,104382143,104383517,3,.
chr9,104757239,104761805,10,.
chr9,104767439,104804780,24,.
chr9,104808235,104813011,15,.
chr9,104834110,104838208,10,.
chr9,104858563,104886680,24,.
chr9,104893737,104924031,23,.
chr9,104967111,104971527,26,.
chr9,105006518,105007887,2,.
chr9,105042064,105046283,3,.
chr9,105062147,105066936,26,.
chr9,105156578,105157671,2,.
chr9,105204603,105208572,19,.
chr9,105276956,105279761,4,.
chr9,105290442,105293444,2,.
chr9,105295921,105301394,7,.
chr9,105437543,105443112,13,.
chr9,105454799,105462499,23,.
chr9,105689633,105690793,5,.
chr9,105707740,105718414,9,.
chr9,105756390,105758422,2,.
chr9,105855156,105855535,2,.
chr9,105929177,105932480,18,.
chr9,106018685,106020346,4,.
chr9,106024282,106027477,13,.
chr9,106071077,106073989,8,.
chr9,106228521,106229497,2,.
chr9,106467525,106468252,2,.
chr9,106476702,106480559,6,.
chr9,106672592,106679625,21,.
chr9,106681535,106683352,2,.
chr9,106696699,106699482,20,.
chr9,106706357,106710059,20,.
chr9,106724565,106730885,19,.
chr9,106755057,106757171,13,.
chr9,106829232,106832406,18,.
chr9,106867053,106890182,14,.
chr9,106890247,106899365,9,.
chr9,106912367,106924601,25,.
chr9,106935896,106937867,3,.
chr9,106943435,106948421,3,.
chr9,106952803,106970958,23,.
chr9,107019385,107020809,2,.
chr9,107141849,107143935,5,.
chr9,107171568,107178945,26,.
chr9,107248946,107253477,21,.
chr9,107320105,107325940,7,.
chr9,107334718,107339753,3,.
chr9,107343265,107346492,9,.
chr9,107385404,107395997,10,.
chr9,107422443,107426241,7,.
chr9,107464776,107466611,6,.
chr9,107479678,107482044,3,.
chr9,107503946,107505612,10,.
chr9,107538742,107543207,2,.
chr9,107545980,107549907,24,.
chr9,107574385,107580077,22,.
chr9,107582649,107594599,26,.
chr9,107597781,107604289,19,.
chr9,107611861,107613304,4,.
chr9,107633784,107648507,26,.
chr9,107652876,107654374,2,.
chr9,107664231,107670005,25,.
chr9,107683128,107686713,11,.
chr9,107687445,107691272,9,.
chr9,107706941,107708952,3,.
chr9,107730710,107736058,26,.
chr9,107736515,107743450,24,.
chr9,107746995,107753618,26,.
chr9,107758429,107762992,17,.
chr9,107765763,107771678,24,.
chr9,107784230,107785405,5,.
chr9,107847612,107849178,3,.
chr9,107970677,107971954,2,.
chr9,107988887,107990401,2,.
chr9,108052744,108058317,13,.
chr9,108140425,108144848,26,.
chr9,108147474,108153291,26,.
chr9,108271772,108273062,7,.
chr9,108524304,108526964,13,.
chr9,108774716,108777566,2,.
chr9,108782472,108788556,10,.
chr9,108799374,108803067,18,.
chr9,108865177,108866590,2,.
chr9,108948133,108959151,18,.
chr9,108965434,108976329,8,.
chr9,108980207,108981573,2,.
chr9,108988113,109002657,24,.
chr9,109004114,109007992,5,.
chr9,109089335,109105112,16,.
chr9,109132345,109133348,3,.
chr9,109211603,109215837,15,.
chr9,109244338,109252999,9,.
chr9,109253640,109254794,3,.
chr9,109261697,109266028,2,.
chr9,109272820,109281696,15,.
chr9,109285731,109288351,6,.
chr9,109302073,109305603,6,.
chr9,109309702,109317733,7,.
chr9,109329083,109332169,9,.
chr9,109407036,109432799,24,.
chr9,109434762,109441246,18,.
chr9,109467429,109479444,23,.
chr9,109559376,109562057,22,.
chr9,109568160,109569631,5,.
chr9,109577132,109580553,10,.
chr9,109585526,109593085,20,.
chr9,109703530,109711092,18,.
chr9,109732718,109736434,4,.
chr9,109742258,109748389,25,yes
chr9,109770380,109774032,11,.
chr9,109788216,109809077,18,.
chr9,109811075,109824718,25,.
chr9,109830453,109833046,3,.
chr9,109841952,109847360,16,.
chr9,109853726,109865034,7,.
chr9,109879597,109920607,26,.
chr9,109963026,109972504,18,.
chr9,109973618,109975625,3,.
chr9,109985919,109988289,3,.
chr9,109990881,110000096,16,.
chr9,110015037,110018717,17,.
chr9,110021320,110022338,2,.
chr9,110024246,110045191,25,.
chr9,110054828,110085350,25,.
chr9,110092087,110096974,3,.
chr9,110098191,110106571,5,.
chr9,110109434,110119498,21,.
chr9,110186500,110191009,11,.
chr9,110191667,110195045,9,.
chr9,110517254,110522157,3,.
chr9,110542288,110548765,10,.
chr9,110551990,110557944,7,.
chr9,110649207,110658385,18,.
chr9,110740860,110748057,15,.
chr9,110765289,110770116,3,.
chr9,110802681,110803223,2,.
chr9,110827590,110829724,7,.
chr9,110846643,110848601,3,.
chr9,110886492,110901491,11,.
chr9,110907752,110922120,16,.
chr9,110935955,110937979,2,.
chr9,110993479,110998217,2,.
chr9,111064599,111070058,13,.
chr9,111093798,111097015,5,.
chr9,111101750,111104464,4,.
chr9,111148233,111150609,3,.
chr9,111159899,111166206,18,.
chr9,111297470,111301802,11,.
chr9,111446298,111459851,11,.
chr9,111700307,111701198,2,.
chr9,111915503,111923960,11,.
chr9,111935864,111938942,2,.
chr9,111957959,111960651,4,.
chr9,111985614,111986721,3,.
chr9,112010617,112015016,24,.
chr9,112032005,112038454,15,.
chr9,112040722,112044501,2,.
chr9,112048372,112052461,13,.
chr9,112068990,112083913,21,.
chr9,112093994,112096583,7,.
chr9,112154502,112160824,4,.
chr9,112164193,112169273,6,.
chr9,112191911,112198912,22,.
chr9,112348062,112349222,4,.
chr9,112419406,112423156,2,.
chr9,112474112,112481329,11,.
chr9,112548752,112555293,17,.
chr9,112726594,112727703,3,.
chr9,112753421,112758414,9,.
chr9,112809609,112811031,2,.
chr9,112819441,112820284,3,.
chr9,112829629,112832468,12,.
chr9,112841239,112843410,5,.
chr9,112858198,112865431,13,.
chr9,112893581,112895322,3,.
chr9,113153889,113155562,2,.
chr9,113160556,113169113,4,.
chr9,113177269,113183958,19,.
chr9,113231645,113235540,9,.
chr9,113286371,113292478,14,.
chr9,113308743,113313426,22,.
chr9,113326402,113330863,22,.
chr9,113341649,113346810,9,.
chr9,113364918,113365798,2,.
chr9,113415426,113417050,4,.
chr9,113445812,113459246,26,.
chr9,113467806,113476559,5,.
chr9,113480481,113496204,24,.
chr9,113507604,113513837,3,.
chr9,113540481,113553063,6,.
chr9,113555004,113562024,2,.
chr9,113605738,113617958,18,.
chr9,113624692,113629076,11,.
chr9,113647257,113649907,11,.
chr9,113652088,113658769,22,.
chr9,113673801,113677020,5,.
chr9,113884624,113888039,4,.
chr9,113920322,113923876,2,.
chr9,113954394,113956514,3,.
chr9,113986671,113990790,3,.
chr9,113992384,113995640,5,.
chr9,114001500,114005886,21,.
chr9,114058562,114060512,3,.
chr9,114108341,114117546,21,.
chr9,114137717,114143875,14,.
chr9,114149151,114152188,2,.
chr9,114162064,114164970,5,.
chr9,114172030,114185623,10,.
chr9,114203869,114211396,25,.
chr9,114223071,114226313,5,.
chr9,114233066,114234578,4,.
chr9,114246883,114251693,18,.
chr9,114278083,114283021,4,.
chr9,114392024,114393216,5,.
chr9,114616748,114619919,2,.
chr9,114855968,114857503,7,.
chr9,114893048,114896301,14,.
chr9,114953210,114956476,4,.
chr9,114957363,114959317,4,.
chr9,115237141,115238492,2,.
chr9,115460168,115462874,2,.
chr9,115465737,115468129,4,.
chr9,115589391,115591072,2,.
chr9,115648690,115654717,22,.
chr9,115670833,115675122,10,.
chr9,115690165,115694553,3,.
chr9,115940973,115948158,26,.
chr9,116084263,116092734,15,.
chr9,116154898,116161505,3,.
chr9,116309414,116311302,2,.
chr9,116315554,116323756,22,.
chr9,116353105,116357216,19,.
chr9,116362973,116366255,8,.
chr9,116470236,116473047,15,.
chr9,116476710,116479325,2,.
chr9,116542435,116546149,12,.
chr9,116547403,116552479,15,.
chr9,116553219,116556973,5,.
chr9,116568901,116577255,17,.
chr9,116579121,116581533,4,.
chr9,116592766,116595369,3,.
chr9,116603898,116607727,13,.
chr9,116621196,116625118,15,.
chr9,116631132,116635106,16,.
chr9,116637615,116649190,15,.
chr9,116652848,116658484,13,.
chr9,116660449,116667403,14,.
chr9,117264020,117269883,2,.
chr9,117644522,117645981,5,.
chr9,117676579,117682508,19,.
chr9,117712346,117727886,10,.
chr9,117737078,117739331,4,.
chr9,118330980,118334063,4,.
chr9,118527950,118531096,14,.
chr9,118928523,118930116,4,.
chr9,118961682,118963346,5,.
chr9,119001503,119010430,25,.
chr9,119020175,119031021,26,.
chr9,119046745,119055512,22,.
chr9,119058692,119061725,2,.
chr9,119272503,119274855,6,.
chr9,119321742,119322697,2,.
chr9,119800061,119803756,7,.
chr9,119949491,119953372,2,.
chr9,120264410,120266825,8,.
chr9,120388044,120389143,2,.
chr9,120409286,120414712,17,.
chr9,120479341,120484301,9,.
chr9,120568697,120577334,24,.
chr9,120583231,120584624,2,.
chr9,120682125,120686084,5,.
chr9,120729520,120738502,8,.
chr9,120884865,120886981,3,.
chr9,120896729,120897846,3,.
chr9,120915820,120924272,10,.
chr9,120930872,120939149,4,.
chr9,120939613,120943674,5,.
chr9,120964213,120968637,20,.
chr9,120988490,120990250,4,.
chr9,121212030,121214434,18,.
chr9,121240071,121244205,6,.
chr9,121245857,121248470,3,.
chr9,121445271,121454575,21,.
chr9,121460125,121505827,25,.
chr9,121505929,121513823,20,.
